disease,symptoms,treatment,symptoms_normalized,normalized_symptoms_list
Hyperthyroidism,"unintentional weight loss, rapid or irregular heartbeat (palpitations), anxiety and irritability, tremors in hands, heat intolerance, increased sweating, frequent bowel movements","anti-thyroid medications, radioactive iodine therapy, beta-blockers, surgery","unintentional weight loss, rapid or irregular heartbeat (palpitations), anxiety and irritability, tremors in hands, heat intolerance, increased sweating, diarrhea","['unintentional weight loss', 'rapid or irregular heartbeat (palpitations)', 'anxiety and irritability', 'tremors in hands', 'heat intolerance', 'increased sweating', 'diarrhea']"
Acne Vulgaris,"pimples, blackheads, whiteheads on face/neck/chest/back, oily skin, cysts or nodules in severe cases","topical treatments (retinoids, benzoyl peroxide, salicylic acid), oral medications (antibiotics, isotretinoin), good skincare hygiene","pimples, blackheads, whiteheads on face/neck/chest/back, oily skin, cysts or nodules in severe cases","['pimples', 'blackheads', 'whiteheads on face/neck/chest/back', 'oily skin', 'cysts or nodules in severe cases']"
Eczema (Atopic Dermatitis),"dry, itchy, red, and inflamed skin, small raised bumps that may leak fluid, thickened or cracked skin","moisturizers and emollients, topical corticosteroids, antihistamines for itching, avoiding triggers","dry, itchy, red, and inflamed skin, small raised bumps that may leak fluid, thickened or cracked skin","['dry', 'itchy', 'red', 'and inflamed skin', 'small raised bumps that may leak fluid', 'thickened or cracked skin']"
Psoriasis,"red, raised patches of skin with silvery scales, itching or burning sensation, dry and cracked skin that may bleed, pitted or thickened nails","topical treatments (corticosteroids, vitamin d analogs), phototherapy (light therapy), systemic medications, biologics","red, raised patches of skin with silvery scales, itching or burning sensation, dry and cracked skin that may bleed, pitted or thickened nails","['red', 'raised patches of skin with silvery scales', 'itching or burning sensation', 'dry and cracked skin that may bleed', 'pitted or thickened nails']"
Osteoarthritis,"aching joint pain that worsens with activity, stiffness (especially in the morning or after rest), reduced range of motion, grating sensation (crepitus)","pain relievers (acetaminophen, nsaids), physical therapy, weight management, joint injections, joint replacement surgery","aching joint pain that worsens with activity, stiffness (especially in the morning or after rest), reduced range of motion, grating sensation (crepitus)","['aching joint pain that worsens with activity', 'stiffness (especially in the morning or after rest)', 'reduced range of motion', 'grating sensation (crepitus)']"
Rheumatoid Arthritis,"tender, warm, swollen joints (often symmetrical), joint stiffness worse in the morning, fatigue, fever, loss of appetite","disease-modifying antirheumatic drugs (dmards), biologic agents, nsaids, corticosteroids, physical therapy","tender, warm, swollen joints (often symmetrical), joint stiffness worse in the morning, fatigue, fever, loss of appetite","['tender', 'warm', 'swollen joints (often symmetrical)', 'joint stiffness worse in the morning', 'fatigue', 'fever', 'loss of appetite']"
Fibromyalgia,"widespread musculoskeletal pain described as a dull ache, fatigue, sleep disturbances, cognitive difficulties ('fibro fog'), heightened sensitivity to pain","pain relievers, antidepressants, physical therapy, stress-reduction techniques (meditation, yoga)","widespread musculoskeletal pain described as a dull ache, fatigue, sleep disturbances, cognitive difficulties ('fibro fog'), heightened sensitivity to pain","['widespread musculoskeletal pain described as a dull ache', 'fatigue', 'sleep disturbances', ""cognitive difficulties ('fibro fog')"", 'heightened sensitivity to pain']"
Irritable Bowel Syndrome (IBS),"chronic abdominal pain or cramping, bloating and gas, diarrhea or constipation (or alternating between both), mucus in the stool","dietary changes (low fodmap diet), fiber supplements, stress management, antispasmodic medications","chronic abdominal pain or cramping, bloating and gas, diarrhea or constipation (or alternating between both), mucus in the stool","['chronic abdominal pain or cramping', 'bloating and gas', 'diarrhea or constipation (or alternating between both)', 'mucus in the stool']"
Acid Reflux (GERD),"frequent heartburn, regurgitation of food or sour liquid, chest pain, difficulty swallowing, feeling of a lump in your throat, chronic cough","antacids, h2 blockers (famotidine), proton pump inhibitors (omeprazole), lifestyle changes (avoiding trigger foods, not lying down after eating)","frequent heartburn, regurgitation of food or sour liquid, chest pain, difficulty swallowing, feeling of a lump in your throat, chronic cough","['frequent heartburn', 'regurgitation of food or sour liquid', 'chest pain', 'difficulty swallowing', 'feeling of a lump in your throat', 'chronic cough']"
Peptic Ulcer Disease,"burning stomach pain, feeling of fullness, bloating or belching, fatty food intolerance, heartburn, nausea","medications to reduce stomach acid (ppis), antibiotics to kill h. pylori bacteria, avoiding nsaids, alcohol, and spicy foods","burning stomach pain, feeling of fullness, bloating or belching, fatty food intolerance, heartburn, nausea","['burning stomach pain', 'feeling of fullness', 'bloating or belching', 'fatty food intolerance', 'heartburn', 'nausea']"
Glaucoma,"gradual loss of peripheral (side) vision, tunnel vision in advanced stages, halos around lights, eye pain and redness (in acute angle-closure glaucoma)","prescription eye drops to lower eye pressure, laser therapy, microsurgery","gradual loss of peripheral (side) vision, tunnel vision in advanced stages, halos around lights, eye pain and redness (in acute angle-closure glaucoma)","['gradual loss of peripheral (side) vision', 'tunnel vision in advanced stages', 'halos around lights', 'eye pain and redness (in acute angle-closure glaucoma)']"
Cataracts,"cloudy or blurred vision, difficulty with vision at night, sensitivity to light and glare, seeing 'halos' around lights, fading or yellowing of colors","surgery to remove the cloudy lens and replace it with a clear, artificial intraocular lens (iol)","cloudy or blurred vision, difficulty with vision at night, sensitivity to light and glare, seeing 'halos' around lights, fading or yellowing of colors","['cloudy or blurred vision', 'difficulty with vision at night', 'sensitivity to light and glare', ""seeing 'halos' around lights"", 'fading or yellowing of colors']"
Sinusitis (Sinus Infection),"pain, tenderness, and pressure around eyes, cheeks, nose, or forehead, nasal congestion, thick, discolored nasal discharge, reduced sense of smell and taste, headache","nasal saline rinses, decongestants, pain relievers, warm compresses, antibiotics (if bacterial and persistent)","pain, tenderness, and pressure around eyes, cheeks, nose, or forehead, nasal congestion, thick, discolored runny nose, reduced sense of smell and taste, headache","['pain', 'tenderness', 'and pressure around eyes', 'cheeks', 'nose', 'or forehead', 'nasal congestion', 'thick', 'discolored runny nose', 'reduced sense of smell and taste', 'headache']"
Bronchitis (Acute),"persistent cough that produces mucus, chest soreness, fatigue, mild headache, body aches, sore throat","rest, plenty of fluids, humidifier, cough medicine, pain relievers (antibiotics are rarely needed)","cough that produces mucus, chest soreness, fatigue, mild headache, muscle aches, sore throat","['cough that produces mucus', 'chest soreness', 'fatigue', 'mild headache', 'muscle aches', 'sore throat']"
Cellulitis,"red, swollen, warm, and painful area of skin, skin may appear pitted like an orange peel, fever, chills, blisters may form","oral or intravenous antibiotics, keeping the affected area elevated and clean","red, swollen, warm, and painful area of skin, skin may appear pitted like an orange peel, fever, chills, blisters may form","['red', 'swollen', 'warm', 'and painful area of skin', 'skin may appear pitted like an orange peel', 'fever', 'chills', 'blisters may form']"
Shingles (Herpes Zoster),"pain, burning, numbness or tingling, a red rash that begins a few days after the pain, fluid-filled blisters that break open and crust over, itching","antiviral drugs (acyclovir, valacyclovir), pain relievers, topical treatments for itching","pain, burning, numbness or tingling, a red rash that begins a few days after the pain, fluid-filled blisters that break open and crust over, itching","['pain', 'burning', 'numbness or tingling', 'a red rash that begins a few days after the pain', 'fluid-filled blisters that break open and crust over', 'itching']"
Lyme Disease,"bull's-eye rash (erythema migrans), fever, chills, fatigue, body aches, headache, neck stiffness","antibiotics (doxycycline, amoxicillin), supportive care for symptoms","bull's-eye rash (erythema migrans), fever, chills, fatigue, muscle aches, headache, neck stiffness","[""bull's-eye rash (erythema migrans)"", 'fever', 'chills', 'fatigue', 'muscle aches', 'headache', 'neck stiffness']"
Gout,"sudden, severe attacks of pain, swelling, redness, and tenderness in one or more joints, most often in the big toe","nonsteroidal anti-inflammatory drugs (nsaids), colchicine, corticosteroids, lifestyle changes to lower uric acid","sudden, severe attacks of pain, swelling, redness, and tenderness in one or more joints, most often in the big toe","['sudden', 'severe attacks of pain', 'swelling', 'redness', 'and tenderness in one or more joints', 'most often in the big toe']"
Endometriosis,"painful periods (dysmenorrhea), pain with intercourse, pain with bowel movements or urination, excessive bleeding, infertility","pain medication, hormone therapy (birth control pills), surgery to remove endometrial tissue","painful periods (dysmenorrhea), pain with intercourse, pain with bowel movements or urination, excessive bleeding, infertility","['painful periods (dysmenorrhea)', 'pain with intercourse', 'pain with bowel movements or urination', 'excessive bleeding', 'infertility']"
Polycystic Ovary Syndrome (PCOS),"irregular menstrual periods, excess androgen (male hormone) levels causing excess facial and body hair, severe acne, and male-pattern baldness, polycystic ovaries","lifestyle changes (diet, exercise), hormonal birth control to regulate periods, medications to manage symptoms like hair growth or insulin resistance","irregular menstrual periods, excess androgen (male hormone) levels causing excess facial and body hair, severe acne, and male-pattern baldness, polycystic ovaries","['irregular menstrual periods', 'excess androgen (male hormone) levels causing excess facial and body hair', 'severe acne', 'and male-pattern baldness', 'polycystic ovaries']"
Mononucleosis (Mono),"extreme fatigue, fever, sore throat, swollen lymph nodes in neck and armpits, headache, skin rash, swollen spleen","rest, hydration, over-the-counter pain relievers (avoid aspirin), gargling with salt water","extreme fatigue, fever, sore throat, swollen lymph nodes in neck and armpits, headache, rash, swollen spleen","['extreme fatigue', 'fever', 'sore throat', 'swollen lymph nodes in neck and armpits', 'headache', 'rash', 'swollen spleen']"
Crohn's Disease,"diarrhea, fever, fatigue, abdominal pain and cramping, blood in stool, mouth sores, reduced appetite and weight loss","anti-inflammatory drugs, immune system suppressors, biologics, nutritional therapy, surgery","diarrhea, fever, fatigue, abdominal pain and cramping, blood in stool, mouth sores, reduced appetite and weight loss","['diarrhea', 'fever', 'fatigue', 'abdominal pain and cramping', 'blood in stool', 'mouth sores', 'reduced appetite and weight loss']"
Ulcerative Colitis,"diarrhea, often with blood or pus, abdominal pain and cramping, rectal pain, urgency to defecate, fatigue, weight loss","anti-inflammatory drugs (5-asa), corticosteroids, immune suppressors, biologics, surgery (colectomy)","diarrhea, often with blood or pus, abdominal pain and cramping, rectal pain, urgency to defecate, fatigue, weight loss","['diarrhea', 'often with blood or pus', 'abdominal pain and cramping', 'rectal pain', 'urgency to defecate', 'fatigue', 'weight loss']"
Major Depressive Disorder,"persistent sad or empty mood, loss of interest or pleasure in activities, significant weight change, insomnia or hypersomnia, fatigue, feelings of worthlessness, difficulty concentrating, suicidal thoughts","psychotherapy (cbt, interpersonal therapy), antidepressant medications (ssris, snris), lifestyle changes","persistent sad or empty mood, loss of interest or pleasure in activities, significant weight change, insomnia or hypersomnia, fatigue, feelings of worthlessness, difficulty concentrating, suicidal thoughts","['persistent sad or empty mood', 'loss of interest or pleasure in activities', 'significant weight change', 'insomnia or hypersomnia', 'fatigue', 'feelings of worthlessness', 'difficulty concentrating', 'suicidal thoughts']"
Generalized Anxiety Disorder,"excessive, uncontrollable worry about various topics, restlessness, feeling on edge, easily fatigued, difficulty concentrating, irritability, muscle tension, sleep disturbance","psychotherapy (cbt), anti-anxiety medications (ssris, buspirone), relaxation techniques","excessive, uncontrollable worry about various topics, restlessness, feeling on edge, easily fatigued, difficulty concentrating, irritability, muscle tension, sleep disturbance","['excessive', 'uncontrollable worry about various topics', 'restlessness', 'feeling on edge', 'easily fatigued', 'difficulty concentrating', 'irritability', 'muscle tension', 'sleep disturbance']"
Bipolar Disorder,"episodes of mania (high energy, racing thoughts, impulsivity) alternating with episodes of depression (low energy, sadness, hopelessness)","mood stabilizers (lithium, valproic acid), antipsychotics, antidepressants (used with caution), psychotherapy","episodes of mania (high energy, racing thoughts, impulsivity) alternating with episodes of depression (low energy, sadness, hopelessness)","['episodes of mania (high energy', 'racing thoughts', 'impulsivity) alternating with episodes of depression (low energy', 'sadness', 'hopelessness)']"
Obsessive-Compulsive Disorder (OCD),"recurrent, unwanted thoughts (obsessions) and repetitive behaviors (compulsions) performed to reduce anxiety, such as hand washing, checking, or counting","psychotherapy (exposure and response prevention - erp), ssris","recurrent, unwanted thoughts (obsessions) and repetitive behaviors (compulsions) performed to reduce anxiety, such as hand washing, checking, or counting","['recurrent', 'unwanted thoughts (obsessions) and repetitive behaviors (compulsions) performed to reduce anxiety', 'such as hand washing', 'checking', 'or counting']"
Panic Disorder,"recurrent unexpected panic attacks, which are abrupt surges of intense fear or discomfort, followed by persistent concern about having more attacks","psychotherapy (cbt), ssris, snris, benzodiazepines (for short-term use)","recurrent unexpected panic attacks, which are abrupt surges of intense fear or discomfort, followed by persistent concern about having more attacks","['recurrent unexpected panic attacks', 'which are abrupt surges of intense fear or discomfort', 'followed by persistent concern about having more attacks']"
Schizophrenia,"hallucinations (seeing or hearing things that aren't there), delusions (false beliefs), disorganized speech, disorganized or catatonic behavior, negative symptoms (lack of emotion, social withdrawal)","antipsychotic medications, psychotherapy, social skills training, family support","hallucinations (seeing or hearing things that aren't there), delusions (false beliefs), disorganized speech, disorganized or catatonic behavior, negative symptoms (lack of emotion, social withdrawal)","[""hallucinations (seeing or hearing things that aren't there)"", 'delusions (false beliefs)', 'disorganized speech', 'disorganized or catatonic behavior', 'negative symptoms (lack of emotion', 'social withdrawal)']"
Parkinson's Disease,"tremor at rest (pill-rolling), slowness of movement (bradykinesia), limb rigidity, gait and balance problems, shuffling walk","medications to increase dopamine (levodopa), physical and occupational therapy, deep brain stimulation","tremor at rest (pill-rolling), slowness of movement (bradykinesia), limb rigidity, gait and balance problems, shuffling walk","['tremor at rest (pill-rolling)', 'slowness of movement (bradykinesia)', 'limb rigidity', 'gait and balance problems', 'shuffling walk']"
Alzheimer's Disease,"progressive memory loss, difficulty with problem-solving and planning, confusion with time or place, trouble understanding visual images, problems with words in speaking or writing, personality changes","medications to manage symptoms (cholinesterase inhibitors, memantine), supportive care, creating a safe environment","progressive memory loss, difficulty with problem-solving and planning, confusion with time or place, trouble understanding visual images, problems with words in speaking or writing, personality changes","['progressive memory loss', 'difficulty with problem-solving and planning', 'confusion with time or place', 'trouble understanding visual images', 'problems with words in speaking or writing', 'personality changes']"
Epilepsy,"recurrent, unprovoked seizures, which can manifest as temporary confusion, staring spells, uncontrollable jerking movements, or loss of consciousness","anti-seizure medications, vagus nerve stimulation, ketogenic diet, surgery to remove seizure focus","recurrent, unprovoked seizures, which can manifest as temporary confusion, staring spells, uncontrollable jerking movements, or loss of consciousness","['recurrent', 'unprovoked seizures', 'which can manifest as temporary confusion', 'staring spells', 'uncontrollable jerking movements', 'or loss of consciousness']"
Multiple Sclerosis (MS),"numbness or weakness in one or more limbs, partial or complete loss of vision, tingling or pain, electric-shock sensations with neck movements, fatigue, dizziness, problems with bowel and bladder function","disease-modifying therapies (dmts), corticosteroids for relapses, physical therapy, symptom management","numbness or weakness in one or more limbs, partial or complete loss of vision, tingling or pain, electric-shock sensations with neck movements, fatigue, dizziness, problems with bowel and bladder function","['numbness or weakness in one or more limbs', 'partial or complete loss of vision', 'tingling or pain', 'electric-shock sensations with neck movements', 'fatigue', 'dizziness', 'problems with bowel and bladder function']"
Systemic Lupus Erythematosus (Lupus),"fatigue, fever, joint pain, butterfly-shaped rash on the face, skin lesions that worsen with sun exposure, shortness of breath, chest pain, dry eyes","anti-inflammatory drugs (nsaids), antimalarial drugs (hydroxychloroquine), corticosteroids, immunosuppressants","fatigue, fever, joint pain, butterfly-shaped rash on the face, skin lesions that worsen with sun exposure, shortness of breath, chest pain, dry eyes","['fatigue', 'fever', 'joint pain', 'butterfly-shaped rash on the face', 'skin lesions that worsen with sun exposure', 'shortness of breath', 'chest pain', 'dry eyes']"
Meningitis (Bacterial),"sudden high fever, severe, persistent headache, stiff neck (nuchal rigidity), nausea, vomiting, confusion, sensitivity to light (photophobia)","immediate emergency medical attention, high-dose intravenous antibiotics","sudden high fever, severe, persistent headache, stiff neck (nuchal rigidity), nausea, vomiting, confusion, sensitivity to light (photophobia)","['sudden high fever', 'severe', 'persistent headache', 'stiff neck (nuchal rigidity)', 'nausea', 'vomiting', 'confusion', 'sensitivity to light (photophobia)']"
Sepsis,"high heart rate, low blood pressure, fever or low body temperature, shivering, confusion or disorientation, shortness of breath, extreme pain or discomfort, clammy or sweaty skin","immediate emergency medical attention, broad-spectrum antibiotics, intravenous fluids, vasopressors to support blood pressure","high heart rate, low blood pressure, fever or low body temperature, chills, confusion or disorientation, shortness of breath, extreme pain or discomfort, clammy or sweaty skin","['high heart rate', 'low blood pressure', 'fever or low body temperature', 'chills', 'confusion or disorientation', 'shortness of breath', 'extreme pain or discomfort', 'clammy or sweaty skin']"
Chickenpox (Varicella),"itchy rash of small, fluid-filled blisters, fever, loss of appetite, headache, tiredness","supportive care, calamine lotion and oatmeal baths for itching, pain relievers (avoid aspirin in children), antiviral medication for high-risk individuals","itchy rash of small, fluid-filled blisters, fever, loss of appetite, headache, fatigue","['itchy rash of small', 'fluid-filled blisters', 'fever', 'loss of appetite', 'headache', 'fatigue']"
